lact,111
l0,123.62
l3,45
l4,35
l5,22
l6,31
l7,18
l8,25
l9,30.3
l10,45
l11,10
l12,38
l13,15.63
l14,34
l15,25
l16,17.75
l17,23
l18,38
l19,17.61
l22,12.5
l23,5.51
l24,15.21
l25,28
l26,13.66
alpha,34.466
beta,90
a_prime,0.77
ang_8_7_11,26.45
ang_9_11_7,59.76
ang_12_11_14,44.77
ang_16_14_17,66.2
ang_3_1_0,30
